Atomic Number	Element Name	Symbol	Mass of Atom (u)	Abundance (%)	See: http://www.chem.ualberta.ca/~massspec/atomic_mass_abund.pdf
1	Hydrogen	1H	1.007825	99.9885	
		2H	2.014102	0.1150	
		3H	3.016049	0.0000	
2	Helium	3He	3.016029	0.0001	
		4He	4.002603	99.9999	
3	Lithium	6Li	6.015122	7.5900	
		7Li	7.016004	92.4100	
4	Beryllium	9Be	9.012182	100.0000	
5	Boron	10B	10.012937	19.9000	
		11B	11.009305	80.1000	
6	Carbon	12C	12.000000	98.9300	
		13C	13.003355	1.0700	
		14C	14.003242	0.0000	
7	Nitrogen	14N	14.003074	99.6320	
		15N	15.000109	0.3680	
8	Oxygen	16O	15.994915	99.7570	
		17O	16.999132	0.0380	
		18O	17.999160	0.2050	
9	Fluorine	19F	18.998403	100.0000	
10	Neon	20Ne	19.992440	90.4800	
		21Ne	20.993847	0.2700	
		22Ne	21.991386	9.2500	
11	Sodium	23Na	22.989770	100.0000	
12	Magnesium	24Mg	23.985042	78.9900	
		25Mg	24.985837	10.0000	
		26Mg	25.982593	11.0100	
13	Aluminum	27Al	26.981538	100.0000	
14	Silicon	28Si	27.976927	92.2297	
		29Si	28.976495	4.6832	
		30Si	29.973770	3.0872	
15	Phosphorus	31P	30.973762	100.0000	
16	Sulphur	32S	31.972071	94.9300	
		33S	32.971458	0.7600	
		34S	33.967867	4.2900	
		36S	35.967081	0.0200	
17	Chlorine	35Cl	34.968853	75.7800	
		37Cl	36.965903	24.2200	
18	Argon	36Ar	35.967546	0.3365	
		38Ar	37.962732	0.0632	
		40Ar	39.962383	99.6003	
19	Potassium	39K	38.963707	93.2581	
		40K	39.963999	0.0117	
		41K	40.961826	6.7302	
20	Calcium	40Ca	39.962591	96.9410	
		42Ca	41.958618	0.6470	
		43Ca	42.958767	0.1350	
		44Ca	43.955481	2.0860	
		46Ca	45.953693	0.0040	
		48Ca	47.952534	0.1870	
21	Scandium	45Sc	44.955910	100.0000	
22	Titanium	46Ti	45.952629	8.2500	
		47Ti	46.951764	7.4400	
		48Ti	47.947947	73.7200	
		49Ti	48.947871	5.4100	
		50Ti	49.944792	5.1800	
23	Vanadium	50V	49.947163	0.2500	
		51V	50.943964	99.7500	
24	Chromium	50Cr	49.946050	4.3450	
		52Cr	51.940512	83.7890	
		53Cr	52.940654	9.5010	
		54Cr	53.938885	2.3650	
25	Manganese	55Mn	54.938050	100.0000	
26	Iron	54Fe	53.939615	5.8450	
		56Fe	55.934942	91.7540	
		57Fe	56.935399	2.1190	
		58Fe	57.933280	0.2820	
27	Cobalt	59Co	58.933200	100.0000	
28	Nickel	58Ni	57.935348	68.0769	
		60Ni	59.930791	26.2231	
		61Ni	60.931060	1.1399	
		62Ni	61.928349	3.6345	
		64Ni	63.927970	0.9256	
29	Copper	63Cu	62.929601	69.1700	
		65Cu	64.927794	30.8300	
30	Zinc	64Zn	63.929147	48.6300	
		66Zn	65.926037	27.9000	
		67Zn	66.927131	4.1000	
		68Zn	67.924848	18.7500	
		70Zn	69.925325	0.6200	
31	Gallium	69Ga	68.925581	60.1080	
		71Ga	70.924705	39.8920	
32	Germanium	70Ge	69.924250	20.8400	
		72Ge	71.922076	27.5400	
		73Ge	72.923459	7.7300	
		74Ge	73.921178	36.2800	
		76Ge	75.921403	7.6100	
33	Arsenic	75As	74.921596	100.0000	
34	Selenium	74Se	73.922477	0.8900	
		76Se	75.919214	9.3700	
		77Se	76.919915	7.6300	
		78Se	77.917310	23.7700	
		80Se	79.916522	49.6100	
		82Se	81.916700	8.7300	
35	Bromine	79Br	78.918338	50.6900	
		81Br	80.916291	49.3100	
36	Krypton	78Kr	77.920386	0.3500	
		80Kr	79.916378	2.2800	
		82Kr	81.913485	11.5800	
		83Kr	82.914136	11.4900	
		84Kr	83.911507	57.0000	
		86Kr	85.910610	17.3000	
37	Rubidium	85Rb	84.911789	72.1700	
		87Rb	86.909183	27.8300	
38	Strontium	84Sr	83.913425	0.5600	
		86Sr	85.909262	9.8600	
		87Sr	86.908879	7.0000	
		88Sr	87.905614	82.5800	
39	Yttrium	89Y	88.905848	100.0000	
40	Zirconium	90Zr	89.904704	51.4500	
		91Zr	90.905645	11.2200	
		92Zr	91.905040	17.1500	
		94Zr	93.906316	17.3800	
		96Zr	95.908276	2.8000	
41	Niobium	93Nb	92.906378	100.0000	
42	Molybdenum	92Mo	91.906810	14.8400	
		94Mo	93.905088	9.2500	
		95Mo	94.905841	15.9200	
		96Mo	95.904679	16.6800	
		97Mo	96.906021	9.5500	
		98Mo	97.905408	24.1300	
		100Mo	99.907477	9.6300	
43	Technetium	98Tc	97.907216	0.0000	
44	Ruthenium	96Ru	95.907598	5.5400	
		98Ru	97.905287	1.8700	
		99Ru	98.905939	12.7600	
		100Ru	99.904220	12.6000	
		101Ru	100.905582	17.0600	
		102Ru	101.904350	31.5500	
		104Ru	103.905430	18.6200	
45	Rhodium	103Rh	102.905504	100.0000	
46	Palladium	102Pd	101.905608	1.0200	
		104Pd	103.904035	11.1400	
		105Pd	104.905084	22.3300	
		106Pd	105.903483	27.3300	
		108Pd	107.903894	26.4600	
		110Pd	109.905152	11.7200	
47	Silver	107Ag	106.905093	51.8390	
		109Ag	108.904756	48.1610	
48	Cadmium	106Cd	105.906458	1.2500	
		108Cd	107.904183	0.8900	
		110Cd	109.903006	12.4900	
		111Cd	110.904182	12.8000	
		112Cd	111.902757	24.1300	
		113Cd	112.904401	12.2200	
		114Cd	113.903358	28.7300	
		116Cd	115.904755	7.4900	
49	Indium	113In	112.904061	4.2900	
		115In	114.903878	95.7100	
50	Tin	112Sn	111.904821	0.9700	
		114Sn	113.902782	0.6600	
		115Sn	114.903346	0.3400	
		116Sn	115.901744	14.5400	
		117Sn	116.902954	7.6800	
		118Sn	117.901606	24.2200	
		119Sn	118.903309	8.5900	
		120Sn	119.902197	32.5800	
		122Sn	121.903440	4.6300	
		124Sn	123.905275	5.7900	
51	Antimony	121Sb	120.903818	57.2100	
		123Sb	122.904216	42.7900	
52	Tellurium	120Te	119.904020	0.0900	
		122Te	121.903047	2.5500	
		123Te	122.904273	0.8900	
		124Te	123.902819	4.7400	
		125Te	124.904425	7.0700	
		126Te	125.903306	18.8400	
		128Te	127.904461	31.7400	
		130Te	129.906223	34.0800	
53	Iodine	127I	126.904468	100.0000	
54	Xenon	124Xe	123.905896	0.0900	
		126Xe	125.904269	0.0900	
		128Xe	127.903530	1.9200	
		129Xe	128.904779	26.4400	
		130Xe	129.903508	4.0800	
		131Xe	130.905082	21.1800	
		132Xe	131.904154	26.8900	
		134Xe	133.905395	10.4400	
		136Xe	135.907220	8.8700	
55	Cesium	133Cs	132.905447	100.0000	
56	Barium	130Ba	129.906310	0.1060	
		132Ba	131.905056	0.1010	
		134Ba	133.904503	2.4170	
		135Ba	134.905683	6.5920	
		136Ba	135.904570	7.8540	
		137Ba	136.905821	11.2320	
		138Ba	137.905241	71.6980	
57	Lanthanum	138La	137.907107	0.0900	
		139La	138.906348	99.9100	
58	Cerium	136Ce	135.907144	0.1850	
		138Ce	137.905986	0.2510	
		140Ce	139.905434	88.4500	
		142Ce	141.909240	11.1140	
59	Praseodymium	141Pr	140.907648	100.0000	
60	Neodymium	142Nd	141.907719	27.2000	
		143Nd	142.909810	12.2000	
		144Nd	143.910083	23.8000	
		145Nd	144.912569	8.3000	
		146Nd	145.913112	17.2000	
		148Nd	147.916889	5.7000	
		150Nd	149.920887	5.6000	
61	Promethium	145Pm	144.912744	0.0000	
62	Samarium	144Sm	143.911995	3.0700	
		147Sm	146.914893	14.9900	
		148Sm	147.914818	11.2400	
		149Sm	148.917180	13.8200	
		150Sm	149.917271	7.3800	
		152Sm	151.919728	26.7500	
		154Sm	153.922205	22.7500	
63	Europium	151Eu	150.919846	47.8100	
		153Eu	152.921226	52.1900	
64	Gadolinium	152Gd	151.919788	0.2000	
		154Gd	153.920862	2.1800	
		155Gd	154.922619	14.8000	
		156Gd	155.922120	20.4700	
		157Gd	156.923957	15.6500	
		158Gd	157.924101	24.8400	
		160Gd	159.927051	21.8600	
65	Terbium	159Tb	158.925343	100.0000	
66	Dysprosium	156Dy	155.924278	0.0600	
		158Dy	157.924405	0.1000	
		160Dy	159.925194	2.3400	
		161Dy	160.926930	18.9100	
		162Dy	161.926795	25.5100	
		163Dy	162.928728	24.9000	
		164Dy	163.929171	28.1800	
67	Holmium	165Ho	164.930319	100.0000	
68	Erbium	162Er	161.928775	0.1400	
		164Er	163.929197	1.6100	
		166Er	165.930290	33.6100	
		167Er	166.932045	22.9300	
		168Er	167.932368	26.7800	
		170Er	169.935460	14.9300	
69	Thulium	169Tm	168.934211	100.0000	
70	Ytterbium	168Yb	167.933894	0.1300	
		170Yb	169.934759	3.0400	
		171Yb	170.936322	14.2800	
		172Yb	171.936378	21.8300	
		173Yb	172.938207	16.1300	
		174Yb	173.938858	31.8300	
		176Yb	175.942568	12.7600	
71	Lutetium	175Lu	174.940768	97.4100	
		176Lu	175.942682	2.5900	
72	Hafnium	174Hf	173.940040	0.1600	
		176Hf	175.941402	5.2600	
		177Hf	176.943220	18.6000	
		178Hf	177.943698	27.2800	
		179Hf	178.945815	13.6200	
		180Hf	179.946549	35.0800	
73	Tantalum	180Ta	179.947466	0.0120	
		181Ta	180.947996	99.9880	
74	Tungsten	180W	179.946706	0.1200	
		182W	181.948206	26.5000	
		183W	182.950224	14.3100	
		184W	183.950933	30.6400	
		186W	185.954362	28.4300	
75	Rhenium	185Re	184.952956	37.4000	
		187Re	186.955751	62.6000	
76	Osmium	184Os	183.952491	0.0200	
		186Os	185.953838	1.5900	
		187Os	186.955748	1.9600	
		188Os	187.955836	13.2400	
		189Os	188.958145	16.1500	
		190Os	189.958445	26.2600	
		192Os	191.961479	40.7800	
77	Iridium	191Ir	190.960591	37.3000	
		193Ir	192.962924	62.7000	
78	Platinum	190Pt	189.959930	0.0140	
		192Pt	191.961035	0.7820	
		194Pt	193.962664	32.9670	
		195Pt	194.964774	33.8320	
		196Pt	195.964935	25.2420	
		198Pt	197.967876	7.1630	
79	Gold	197Au	196.966552	100.0000	
80	Mercury	196Hg	195.965815	0.1500	
		198Hg	197.966752	9.9700	
		199Hg	198.968262	16.8700	
		200Hg	199.968309	23.1000	
		201Hg	200.970285	13.1800	
		202Hg	201.970626	29.8600	
		204Hg	203.973476	6.8700	
81	Thallium	203Tl	202.972329	29.5240	
		205Tl	204.974412	70.4760	
82	Lead	204Pb	203.973029	1.4000	
		206Pb	205.974449	24.1000	
		207Pb	206.975881	22.1000	
		208Pb	207.976636	52.4000	
83	Bismuth	209Bi	208.980383	100.0000	
84	Polonium	209Po	208.982416	0.0000	
